@relation movers
@attribute party_id real
@attribute session_count real
@attribute event_count real
@attribute homepage {t, f}
@attribute tv_home_theater {t, f}
@attribute computer_tables {t, f}
@attribute cell_phones {t, f}
@attribute cameras_camcorders {t, f}
@attribute audio_mp3 {t, f}
@attribute car_electronics_gps {t, f}
@attribute video_games_movies_music {t, f}
@attribute health_fitness {t, f}
@attribute home_office {t, f}
@attribute small_appliances {t, f}
@attribute appliances {t, f}
@attribute clearance {t, f}
@attribute searched {t, f}
@attribute list_page {t, f}
@attribute pdp {t, f}
@attribute cart_view {t, f}
@attribute conversion {t, f}
@attribute movers {t, f}
@data
29604013,1,9,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,?
2976961,1,15,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,f,?
29940709,1,15,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,?
29987837,1,10,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,?
29992205,1,1,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
30057362,1,68,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,?
30103331,1,4,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
30165576,1,1,f,f,t,f,f,f,f,f,f,f,f,f,t,t,t,t,t,f,?
30165576,1,9,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,f,?
30254200,1,3,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,?
30431309,1,7,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
30517103,1,25,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,f,?
30698104,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,t,?
31334474,1,38,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,t,?
3157185,1,8,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,?
3204775,1,15,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,f,?
32233130,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
32366163,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,f,?
32366163,1,5,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,?
32886468,1,5,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,?
33040965,1,15,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
33086277,1,8,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,?
33180878,1,14,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,f,?
33517912,1,3,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
33616605,1,6,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
33864720,1,15,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,?
34184641,1,1,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
34184641,1,14,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,?
34871590,1,15,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
3489090,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
35421528,1,16,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,?
35480539,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
35480539,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
35480539,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
35687404,1,4,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
3569827,1,3,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,f,?
3569827,1,3,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
35702913,1,22,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f,f,?
35753669,1,7,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,?
35814756,1,5,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,f,?
35906381,1,1,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
36020154,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,t,t,?
36071061,1,14,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,?
36393547,1,6,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,?
37185697,1,89,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,t,?
37185697,1,145,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,?
377977310,1,7,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,f,?
37807647,1,1,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
378190518,1,1,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
378190518,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
378190518,1,3,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,f,?
378190518,1,12,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,t,t,?
378190518,1,18,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,f,?
378190518,1,21,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,t,t,?
378190518,1,21,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,t,t,?
37864764,1,17,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,t,?
37872367,1,19,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,?
378836448,1,27,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,f,?
378841553,1,9,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,f,?
38148601,1,9,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,t,t,?
38148601,1,11,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,?
381609102,1,2,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
382358238,1,11,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,?
382631096,1,8,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
383103552,1,11,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,f,?
3832855,1,3,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,t,f,?
3832855,1,6,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,t,f,?
383290749,1,14,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,f,?
384253696,1,5,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,?
384253696,1,6,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,?
384253696,1,7,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,?
384253696,1,44,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,?
